,Week,Color,Avg_Return,Volatility,Week_of_Month,Close
0,1,Red,0.00011863840000000004,0.002753567306590024,1,227.05
1,2,Red,-0.0006806745,0.002934256150382027,2,226.74
2,3,Green,0.0030187304,0.004285472758903437,3,228.97
3,4,Green,-0.0013609202000000001,0.0025402115710571357,4,229.34
4,5,Green,0.0024783198,0.003373755222111017,1,231.51
5,6,Green,0.0035506341999999996,0.002284721246932798,2,235.09
6,7,Green,0.00183023325,0.0025395032396892483,3,236.74
7,8,Green,0.0015665176,0.006850633858936314,4,238.42
8,9,Red,-0.0011846863999999998,0.0018012855012267878,1,237.69
9,10,Green,0.0013737466000000001,0.0043930208592491615,2,237.03
10,11,Red,-0.0028812970000000005,0.00518261097705344,3,233.86
11,12,Green,0.0019286478,0.0030643064531649185,4,235.74
12,13,Red,-0.0007182654000000001,0.0021450120691636773,1,235.2
13,14,Red,-3.492877777777799e-05,0.004957613810343659,2,234.59
14,15,Green,0.0027679746,0.00505480780439085,3,238.08
15,16,Green,0.00013548420000000002,0.0016734080415079162,4,239.7
16,17,Red,0.000521076,0.0021171451843130648,1,238.98
17,18,Red,-0.0021557604,0.00827010553351268,2,238.31
18,19,Green,0.0041813592,0.0016641838775926657,3,241.71
19,20,Green,0.001657037,0.003643993921227161,4,244.17
20,21,Red,0.0003474018,0.002231796606833105,1,243.41
21,22,Green,-4.994400000000055e-06,0.002512642752872489,2,242.64
22,23,Green,0.00021993279999999964,0.004792915637285989,3,243.13
23,24,Red,-0.0012084423999999998,0.006585114849764812,4,241.8
24,25,Green,-0.0008181207499999999,0.004812573874944071,1,242.11
25,26,Green,0.0032022774000000005,0.003218088848083757,2,245.56
26,27,Green,0.0021861523999999995,0.002352227362295541,3,246.88
27,28,Green,8.168320000000002e-05,0.0012323749693989082,4,246.91
28,29,Green,-0.0001931800000000001,0.0014475971851713445,1,247.41
29,30,Red,-0.00258707,0.005976831891664714,2,244.12
30,31,Red,-0.0005156520000000008,0.008309892212554073,3,242.71
31,32,Green,0.000752115,0.0050569488485002105,4,244.56
32,33,Green,0.0028550976,0.002220236162234694,1,247.84
33,34,Red,-0.000618865,0.003991223530870452,2,246.58
34,35,Green,0.002604408,0.004310945810917089,3,249.19
35,36,Green,0.00043099900000000005,0.0016562947378122048,4,249.44
36,37,Green,0.000770525,0.001908957833823576,1,251.23
37,38,Green,0.0034211098,0.001658866538390283,2,254.37
38,39,Green,-1.4205800000000002e-05,0.001770422084593095,3,254.95
39,40,Green,0.0009016448,0.00038090095692681057,4,257.11
40,41,Green,-0.00012583079999999987,0.0037667828526835685,1,257.71
41,42,Green,0.0015439263999999999,0.003824450377057002,2,258.45
42,43,Red,0.0004528239999999998,0.0024104515238481776,3,258.09
43,44,Red,0.00035862119999999985,0.004539402140133936,4,257.86
44,45,Green,0.001106474,0.0035440831971825237,1,260.36
45,46,Green,0.0040203246,0.0045762372026785765,2,264.46
46,47,Green,-0.0007077704,0.0022883205967633644,3,265.51
47,48,Green,0.0012063932000000003,0.0032051492927252794,4,266.51
48,49,Green,0.0024727864000000004,0.0044329828130587915,1,267.51
49,50,Red,0.0002716089999999999,0.0011909918995797158,2,266.86
50,51,Green,0.0034816525,0.00432217358109554,3,273.42
51,52,Green,0.0033045136000000004,0.0032819858996554273,4,277.92
52,53,Green,0.002737867,0.005428815432964129,1,280.41
53,54,Green,0.0029677058,0.0030858602890858427,2,286.58
54,55,Red,-0.0011895385999999997,0.007451985273362384,3,275.45
55,56,Red,-0.017364781200000002,0.022538316423354514,4,261.5
56,57,Green,0.0116899458,0.004672472284868831,1,273.11
57,58,Green,-0.0024115742500000004,0.00325775193225101,2,274.71
58,59,Red,-0.0019210833999999993,0.012964626400390264,3,269.08
59,60,Green,0.0047440208,0.0039395542727866766,4,278.87
60,61,Red,0.0006926795999999995,0.008617527879589868,1,274.2
61,62,Red,-0.007532349999999998,0.010315296958096826,2,258.05
62,63,Green,0.000964368,0.016542127999048653,3,259.72
63,64,Green,0.0003054646000000003,0.01317937640751951,4,265.15
64,65,Green,0.0022360214,0.00627654827740616,1,266.61
65,66,Red,-0.0018918761999999999,0.008304849972713859,2,266.56
66,67,Red,-0.0027792386,0.003861089829082903,3,266.02
67,68,Green,0.007069278399999999,0.004691382948786535,4,272.85
68,69,Red,1.4339999999998105e-07,0.0038823671966913484,1,271.33
69,70,Green,0.0005882153999999999,0.004013561477467741,2,272.15
70,71,Green,-0.001666184,0.00925272317663165,3,273.6
71,72,Green,0.0047098302,0.0039622150270474926,4,278.19
72,73,Green,0.0009810504000000002,0.0021855297386096212,1,277.13
73,74,Red,-0.0023456584,0.0026550968662234983,2,274.74
74,75,Red,-0.0024284248,0.007285148660353127,3,271.28
75,76,Green,0.0020511115,0.004148573643882347,4,275.42
76,77,Green,0.004562498599999999,0.006279623820517041,1,279.59
77,78,Green,0.0004541178,0.0026609789891984792,2,279.68
78,79,Green,0.0023824196,0.003997671957052935,3,281.42
79,80,Green,-0.0006586658000000001,0.005055706817065895,4,283.6
80,81,Red,0.0018935603999999998,0.0023163518769564006,1,283.16
81,82,Green,-0.0006877821999999999,0.0066104796898128785,2,285.06
82,83,Green,0.0012168456,0.0018539731034843629,3,287.51
83,84,Green,0.003145832,0.004351042161733991,4,290.31
84,85,Red,-0.0018472624999999999,0.0011855359854642752,1,287.6
85,86,Green,0.0018498472000000002,0.0026683898812572653,2,290.88
86,87,Green,0.0018946215999999997,0.00461225128410756,3,291.99
87,88,Red,-0.0010722287999999998,0.0021791853215795487,4,290.72
88,89,Red,-0.0008545047999999999,0.0037458493013835677,1,287.82
89,90,Red,-0.0121491876,0.012515354379757381,2,275.95
90,91,Green,0.0031748914,0.013120599331451403,3,276.25
91,92,Red,-0.0044960126,0.01539575185061597,4,265.33
92,93,Green,0.0026027432000000003,0.012272444977213439,1,271.89
93,94,Green,0.005103156000000001,0.009348700898881322,2,277.76
94,95,Red,-0.0053449282,0.009600901135381895,3,273.73
95,96,Red,-0.007353185250000001,0.010376194478690908,4,263.25
96,97,Green,0.0067340607999999995,0.01117831531774257,1,275.65
97,98,Red,-0.00364568425,0.017403702722735646,2,263.57
98,99,Red,-0.0032830654,0.010150283095834552,3,260.47
99,100,Red,-0.014086675600000001,0.006694734432980612,4,240.7
100,101,Green,0.0028224815000000014,0.030405036919406114,1,247.75
